"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Singapore",2021-03-10,114304,219149.5,114304,15911,5883682,"Asia",904091.812121212,19427.2905979623,37246.9994129526,2704.2589997216
"Singapore",2021-03-11,117794.5,225105.5,117794.5,17705,5883682,"Asia",921796.812121212,20020.5415588402,38259.2906958602,3009.17010810577
"Singapore",2021-03-12,376641.333333333,667042.333333333,376641.333333333,19925,5883682,"Asia",941721.812121212,64014.5632162536,113371.581491544,3386.48485761127
"Singapore",2021-03-13,390614.666666667,684839,390614.666666667,22144,5883682,"Asia",963865.812121212,66389.4932912191,116396.331412881,3763.62964551789
"Singapore",2021-03-14,405369.333333333,695135.333333333,405369.333333333,24364,5883682,"Asia",988229.812121212,68897.2200287734,118146.312688778,4140.94439502339
"Singapore",2021-03-15,243169,549254,243169,25873,5883682,"Asia",1014102.81212121,41329.3920371631,93352.0880292307,4397.4164477278
"Slovakia",2021-01-07,5,13661,5,4554,5461564,"Europe",315602.515151515,0.915488676869849,2501.2981629438,833.827086893058
"Slovakia",2021-01-08,8,20702,8,5176,5461564,"Europe",320778.515151515,1.46478188299176,3790.48931771192,947.713878295668
"Slovakia",2021-01-09,30,22311,30,4462,5461564,"Europe",325240.515151515,5.49293206121909,4085.09357392864,816.982095238653
"Slovakia",2021-01-10,78832.4615384615,25356,78832.4615384615,4226,5461564,"Europe",329466.515151515,14434.0451816479,4642.62617814238,773.771029690396
"Slovakia",2021-01-11,119802.714285714,29411,119802.714285714,4202,5461564,"Europe",333668.515151515,21935.605677369,5385.08749508383,769.376684041421
"Slovakia",2021-01-12,124487.714285714,39977,124487.714285714,5650,5461564,"Europe",339318.515151515,22793.4185675961,7319.69816704519,1034.50220486293
"Slovakia",2021-01-13,127414.857142857,46727,127414.857142857,5730,5461564,"Europe",345048.515151515,23329.371795855,8555.60788081949,1049.15002369285
"Slovakia",2021-01-14,129017.571428571,54183,129017.571428571,5789,5461564,"Europe",350837.515151515,23622.8251520208,9920.78459576781,1059.95279007991
"Slovakia",2021-01-15,130349.142857143,62037,130349.142857143,5905,5461564,"Europe",356742.515151515,23866.6328650809,11358.834209395,1081.19212738329
"Slovakia",2021-01-16,131201.285714286,63399,131201.285714286,5870,5461564,"Europe",362612.515151515,24022.6582924389,11608.2133249743,1074.7837066452
"Slovakia",2021-01-17,2067.77777777778,63453,2067.77777777778,5442,5461564,"Europe",368054.515151515,378.605428367731,11618.1006026845,996.417875905144
"Slovakia",2021-01-18,582,71839,582,6144,5461564,"Europe",374198.515151515,106.56288198765,13153.5582115306,1124.95248613767
"Slovakia",2021-01-19,1043,79329,1043,5771,5461564,"Europe",379969.515151515,190.97093799505,14524.9602494816,1056.65703084318
"Slovakia",2021-01-20,1907,86347,1907,5932,5461564,"Europe",385901.515151515,349.16738135816,15809.9401563362,1086.13576623839
"Slovakia",2021-01-21,2555,93018,2555,5913,5461564,"Europe",391814.515151515,467.814713880493,17031.3851490159,1082.65690926628
"Slovakia",2021-01-22,2688,99655,2688,5758,5461564,"Europe",397572.515151515,492.166712685231,18246.604818693,1054.27676028332
"Slovakia",2021-01-23,2688,99931,2688,5603,5461564,"Europe",403175.515151515,492.166712685231,18297.1397936562,1025.89661130035
"Slovakia",2021-01-24,2688,99931,2688,5595,5461564,"Europe",408770.515151515,492.166712685231,18297.1397936562,1024.43182941736
"Slovakia",2021-01-25,4981,106599,4981,5594,5461564,"Europe",414364.515151515,912.009819897744,19518.0354931298,1024.24873168199
"Slovakia",2021-01-26,5237,113571,5237,5491,5461564,"Europe",419855.515151515,958.88284015348,20794.5929041571,1005.38966493847
"Slovakia",2021-01-27,5509,120362,5509,5374,5461564,"Europe",425229.515151515,1008.6854241752,22038.0096250818,983.967229899714
"Slovakia",2021-01-28,7031,128712,7031,5739,5461564,"Europe",430968.515151515,1287.36017741438,23566.8757154544,1050.79790331121
"Slovakia",2021-01-29,9365,138177,9365,6457,5461564,"Europe",437425.515151515,1714.71029177723,25299.895780769,1182.26207730972
